,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Security Code
0,ABB India Limited,ABB,Abb India Limited,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity,500002
1,Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd.,Active,A ,1,INE208C01025,Oil Marketing & Distribution,Equity,500003
2,Amara Raja Batteries Ltd,AMARAJABAT,Amara Raja Batteries Ltd.,Active,A ,1,INE885A01032,Auto Parts & Equipment,Equity,500008
3,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,Ambalal Sarabhai Enterprises Ltd.,Active,X ,10,INE432A01017,Pharmaceuticals,Equity,500009
4,Housing Development Finance Corp.Lt,HDFC,Housing Development Finance Corp.Ltd.,Active,A ,2,INE001A01036,Housing Finance ,Equity,500010
5,"Andhra Petrochemicals Ltd.,",ANDHRAPET,Andhra Petrochemicals Ltd.,Active,XT,10,INE714B01016,Commodity Chemicals,Equity,500012
6,Ansal Properties & Infrastructure Ltd.,ANSALAPI,Ansal Properties & Infrastructure Ltd.,Active,B ,5,INE436A01026,Realty,Equity,500013
7,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10,INE096A01010,Finance (including NBFCs),Equity,500014
8,Aruna Hotels Ltd.,ARUNAHTEL,Aruna Hotels Ltd.,Active,XT,10,INE957C01019,Hotels,Equity,500016
9,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,Bombay Dyeing & Mfg.Co.Ltd.,Active,A ,2,INE032A01023,Textiles,Equity,500020
10,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10,INE363A01022,Hotels,Equity,500023
11,"Atul Limited.,",ATUL,Atul Ltd.,Active,A ,10,INE100A01010,Specialty Chemicals,Equity,500027
12,ATV Projects India Ltd,ATVPR,Atv Projects India Ltd.,Active,XT,10,INE447A01015,Construction & Engineering,Equity,500028
13,"Bajaj Electricals Ltd.,",BAJAJELEC,Bajaj Electricals Ltd.-$,Active,A ,2,INE193E01025,Household Appliances,Equity,500031
14,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,T ,1,INE306A01021,Sugar,Equity,500032
15,Force Motors Limited,FORCEMOT,Force Motors Ltd.-$,Active,A ,10,INE451A01017,Cars & Utility Vehicles,Equity,500033
16,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2,INE296A01024,Finance (including NBFCs),Equity,500034
17,Balrampur Chini Mills Ltd.,BALRAMCHIN,Balrampur Chini Mills Ltd.,Active,A ,1,INE119A01028,Sugar,Equity,500038
18,"Banco Products (India) Ltd.,",BANCOINDIA,Banco Products (India) Ltd.-$,Active,B ,2,INE213C01025,Auto Parts & Equipment,Equity,500039
19,"Century Textiles & Industries Ltd.,",CENTURYTEX,Century Textiles & Industries Ltd.,Active,A ,10,INE055A01016,Paper & Paper Products,Equity,500040
20,"Bannari Amman Sugars Ltd.,",BANARISUG,Bannari Amman Sugars Ltd.,Active,A ,10,INE459A01010,Sugar,Equity,500041
21,BASF India Ltd,BASF,Basf India Ltd.,Active,A ,10,INE373A01013,Specialty Chemicals,Equity,500042
22,Bata India Limited,BATAINDIA,Bata India Ltd.,Active,A ,5,INE176A01028,Footwear,Equity,500043
23,BEML Ltd,BEML,Beml Ltd.,Active,A ,10,INE258A01016,Commercial Vehicles,Equity,500048
24,"Bharat Electronics Ltd.,",BEL,Bharat Electronics Ltd.,Active,A ,1,INE263A01024,Defence,Equity,500049
25,"Bhansali Engineering Polymers Ltd.,",BEPL,Bhansali Engineering Polymers Ltd.-$,Active,A ,1,INE922A01025,Specialty Chemicals,Equity,500052
26,TATA STEEL BSL LIMITED,TATASTLBSL,Tata Steel Bsl Ltd,Active,B ,2,INE824B01021,Iron & Steel/Interm.Products,Equity,500055
27,Bihar Sponge Iron Ltd,BIHSPONG,Bihar Sponge Iron Ltd.,Active,XT,10,INE819C01011,Iron & Steel/Interm.Products,Equity,500058
28,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,T ,10,INE800A01015,Other Elect.Equip./ Prod.,Equity,500060
29,Blue Star Ltd,BLUESTARCO,Blue Star Ltd.,Active,A ,2,INE472A01039,Consumer Electronics,Equity,500067
30,Disa India Ltd.,DISAQ,Disa India Ltd.,Active,X ,10,INE131C01011,Industrial Machinery,Equity,500068
31,BNK Capital Markets Ltd.,BNKCAP,Bnk Capital Markets Ltd.,Active,X ,10,INE418C01012,Other Financial Services,Equity,500069
