Actual Name,Fixed Name
Bajaj Steel Industries,BAJAJ STEEL INDUSTRIES LTD.
Berger Paints India,Berger Paints (I) Limited
Black Rose Industries,BLACK ROSE INDUSTRIES LTD.
Clean Science And Technology,Clean Science and Technology Limited
Gruh Finance,GRUH FINANCE LTD.
Gujarat Mineral Development  Corporation,Gujarat Mineral Development Corporation Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
IFB Inds.,IFB Industries Limited
KMC Speciality Hospitals,KMC SPECIALITY HOSPITALS (INDIA) LTD.
Kei Industries,KEI Industries Limited
L&T Infotech,Larsen & Toubro Infotech Limited
SBI Cards & Payments Services,SBI Cards and Payment Services Limited
Shree Digvijay Cement Company,Shree Digvijay Cement Co.Ltd
Tata Motors DVR,Tata Motors  Ltd - DVR
Tube Investments Of India,Tube Investments of India Limited
