Tue Aug 10 16:31:22 2021    stocks_complexity.py.stats

         500363111 function calls (493977509 primitive calls) in 5726.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1201/1    0.003    0.000 5726.608 5726.608 {built-in method builtins.exec}
        1    0.082    0.082 5726.608 5726.608 stocks_complexity.py:1(<module>)
  748/273    0.004    0.000 5684.506   20.822 frame.py:8579(apply)
  748/273    0.011    0.000 5684.504   20.822 apply.py:655(apply)
  748/273    0.003    0.000 5684.500   20.822 apply.py:804(apply_standard)
  748/273    1.468    0.002 5684.405   20.822 apply.py:810(apply_series_generator)
      272    0.010    0.000 5615.430   20.645 stocks_complexity.py:23(compute_value_and_update_proportion)
     6569    0.020    0.000 5614.260    0.855 stocks_complexity.py:26(<lambda>)
     6569    0.255    0.000 5614.055    0.855 multibeggar.py:166(get_closing_price)
6697/6569    0.777    0.000 5589.037    0.851 multibeggar.py:69(get_adjusted_closing_price)
     7840    0.834    0.000 5557.193    0.709 base.py:77(history)
     7840    0.129    0.000 5401.622    0.689 api.py:64(get)
     7840    0.091    0.000 5401.490    0.689 api.py:16(request)
     7840    0.130    0.000 5383.681    0.687 sessions.py:470(request)
     7840    0.272    0.000 5373.696    0.685 sessions.py:626(send)
     7840    0.141    0.000 5369.418    0.685 adapters.py:394(send)
     7840    0.252    0.000 5362.296    0.684 connectionpool.py:499(urlopen)
     7840    0.336    0.000 5358.907    0.684 connectionpool.py:356(_make_request)
     7840    0.092    0.000 4743.028    0.605 client.py:1305(getresponse)
     7840    0.242    0.000 4742.501    0.605 client.py:309(begin)
    15378    0.124    0.000 4737.328    0.308 socket.py:690(readinto)
    15378    0.115    0.000 4737.148    0.308 ssl.py:1230(recv_into)
    15378    0.088    0.000 4737.020    0.308 ssl.py:1090(read)
    15378 4736.928    0.308 4736.928    0.308 {method 'read' of '_ssl._SSLSocket' objects}
     7840    0.200    0.000 4736.478    0.604 client.py:276(_read_status)
   159993    0.222    0.000 4736.343    0.030 {method 'readline' of '_io.BufferedReader' objects}
     7840    0.129    0.000  612.447    0.078 connectionpool.py:970(_validate_conn)
     7840    0.461    0.000  612.315    0.078 connection.py:307(connect)
     7840    0.096    0.000  371.499    0.047 ssl_.py:308(ssl_wrap_socket)
     7840    0.055    0.000  273.655    0.035 ssl.py:494(wrap_socket)
     7840    0.249    0.000  273.599    0.035 ssl.py:983(_create)
     7840    0.109    0.000  272.594    0.035 ssl.py:1302(do_handshake)
     7840  272.411    0.035  272.411    0.035 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     7840    0.061    0.000  234.513    0.030 connection.py:146(_new_conn)
     7840    0.165    0.000  234.452    0.030 connection.py:33(create_connection)
     7841  214.391    0.027  214.391    0.027 {method 'connect' of '_socket.socket' objects}
     7840   97.639    0.012   97.639    0.012 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     1406    0.002    0.000   69.825    0.050 stocks_complexity.py:39(<lambda>)
     1406    0.014    0.000   69.807    0.050 multibeggar.py:62(get_stock_symbol)
77897/71418    0.299    0.000   64.360    0.001 _decorators.py:302(wrapper)
   204907    0.808    0.000   56.261    0.000 frame.py:573(__init__)
     1406    0.013    0.000   54.692    0.039 multibeggar.py:30(get_stock_symbol_from_bse)
    83678    0.945    0.000   53.345    0.001 construction.py:394(dict_to_mgr)
     6478    0.264    0.000   48.128    0.007 utils.py:80(auto_adjust)
  1284237    0.981    0.000   39.619    0.000 multibeggar.py:41(<lambda>)
  1614105    0.894    0.000   36.857    0.000 fuzz.py:101(token_sort_ratio)
3228210/1614105    1.836    0.000   35.963    0.000 utils.py:34(decorator)
  1614105    1.900    0.000   34.887    0.000 fuzz.py:90(_token_sort)
    13578    0.138    0.000   34.622    0.003 frame.py:977(__repr__)
    13578    0.152    0.000   33.601    0.002 frame.py:1051(to_string)
593592/346168    6.435    0.000   31.025    0.000 base.py:375(__new__)
    13578    0.072    0.000   30.790    0.002 format.py:1032(to_string)
    13578    0.029    0.000   30.360    0.002 string.py:24(to_string)
    13578    0.045    0.000   30.262    0.002 string.py:36(_get_string_representation)
    64082    0.254    0.000   29.987    0.000 utils.py:39(empty_df)
     7840    0.113    0.000   28.634    0.004 base.py:45(__init__)
    83751    0.282    0.000   27.525    0.000 construction.py:98(arrays_to_mgr)
   128798    0.823    0.000   26.204    0.000 frame.py:3418(__getitem__)
432971/405960    2.916    0.000   25.733    0.000 series.py:315(__init__)
76494306/76494276   16.268    0.000   25.409    0.000 {built-in method builtins.isinstance}
     6569    0.269    0.000   24.733    0.004 multibeggar.py:130(deadjust_price)
    12956    0.162    0.000   23.801    0.002 frame.py:5822(dropna)
  3228210    4.143    0.000   22.163    0.000 fuzz.py:75(_process_and_sort)
    26736    0.282    0.000   20.516    0.001 frame.py:3584(__setitem__)
     7840    0.131    0.000   19.509    0.002 socket.py:936(getaddrinfo)
     7840   19.081    0.002   19.122    0.002 {built-in method _socket.getaddrinfo}
     6478    0.037    0.000   17.686    0.003 utils.py:150(parse_actions)
     7840    0.016    0.000   16.920    0.002 sessions.py:427(__exit__)
     7840    0.055    0.000   16.904    0.002 sessions.py:744(close)
    15680    0.070    0.000   16.845    0.001 adapters.py:319(close)
    15680    0.043    0.000   16.767    0.001 poolmanager.py:210(clear)
    15680    0.172    0.000   16.724    0.001 _collections.py:91(clear)
     7840    0.066    0.000   16.459    0.002 poolmanager.py:168(<lambda>)
     7840   13.152    0.002   16.393    0.002 connectionpool.py:460(close)
    12956    0.118    0.000   16.374    0.001 frame.py:9622(count)
        1    0.000    0.000   16.138   16.138 pyplot.py:333(show)
        1    0.000    0.000   16.138   16.138 backend_bases.py:3561(show)
        1    0.000    0.000   16.116   16.116 _backend_tk.py:906(mainloop)
        1    0.000    0.000   16.116   16.116 __init__.py:1427(mainloop)
        1   15.964   15.964   16.116   16.116 {method 'mainloop' of '_tkinter.tkapp' objects}
97916/84820    0.648    0.000   16.082    0.000 base.py:3426(get_indexer)
   521329    0.638    0.000   16.041    0.000 base.py:6280(ensure_index)
     2495    0.088    0.000   15.386    0.006 string.py:162(_fit_strcols_to_terminal_width)
  3228210    3.650    0.000   15.317    0.000 utils.py:85(full_process)
     1406    0.012    0.000   15.102    0.011 multibeggar.py:6(get_stock_symbol_from_nse)
     4990    0.013    0.000   14.902    0.003 string.py:30(_get_strcols)
     4990    0.020    0.000   14.606    0.003 format.py:536(get_strcols)
  1649706    2.495    0.000   13.780    0.000 series.py:928(__getitem__)
     4990    0.176    0.000   13.737    0.003 format.py:768(_get_strcols_without_index)
    49641    0.170    0.000   13.358    0.000 generic.py:3617(_take_with_is_copy)
     8494    0.052    0.000   13.332    0.002 concat.py:90(concat)
     7638    0.153    0.000   13.232    0.002 utils.py:121(parse_quotes)
    83751    0.498    0.000   12.643    0.000 managers.py:1753(create_block_manager_from_arrays)
     6478    0.075    0.000   12.401    0.002 frame.py:5972(drop_duplicates)
  4196839    4.202    0.000   12.269    0.000 generic.py:5480(__setattr__)
   865602    0.530    0.000   11.729    0.000 config.py:242(__call__)
    49641    0.339    0.000   11.580    0.000 generic.py:3518(take)
   517970    2.111    0.000   11.455    0.000 blocks.py:1916(new_block)
   651079    2.127    0.000   11.431    0.000 construction.py:463(sanitize_array)
    20789    0.146    0.000   11.380    0.001 format.py:815(format_col)
    55867    0.160    0.000   11.297    0.000 common.py:54(new_method)
   879928    0.888    0.000   11.255    0.000 config.py:114(_get_option)
  1622827    2.127    0.000   11.057    0.000 apply.py:930(series_generator)
   128617    0.808    0.000   11.026    0.000 managers.py:276(apply)
    55888    0.158    0.000   10.891    0.000 base.py:5262(get_indexer_for)
   373217    7.720    0.000   10.584    0.000 {pandas._libs.lib.maybe_convert_objects}
   329868    0.251    0.000   10.257    0.000 multibeggar.py:17(<lambda>)
  1614105    0.743    0.000   10.065    0.000 utils.py:25(decorator)
   293995    0.816    0.000    9.697    0.000 base.py:6398(_maybe_cast_data_without_dtype)
   130981    0.744    0.000    9.639    0.000 frame.py:3871(_get_item_cache)
     6478    0.259    0.000    9.615    0.001 frame.py:6070(duplicated)
  1614064    1.317    0.000    9.322    0.000 utils.py:43(decorator)
    26736    0.101    0.000    9.306    0.000 frame.py:3769(_set_item)
    27083    0.203    0.000    9.296    0.000 format.py:1164(format_array)
   908580    1.398    0.000    9.142    0.000 config.py:96(_get_single_key)
     8494    0.172    0.000    8.854    0.001 concat.py:481(get_result)
    49642    0.260    0.000    8.777    0.000 managers.py:833(take)
    26736    0.216    0.000    8.772    0.000 frame.py:3744(_set_item_mgr)
    83751    1.567    0.000    8.576    0.000 managers.py:1804(_form_blocks)
  1636004    1.668    0.000    8.397    0.000 series.py:1034(_get_value)
    27083    0.067    0.000    8.295    0.000 format.py:1270(get_result)
   103648    0.412    0.000    8.130    0.000 blocks.py:375(apply)
39397/38132    0.146    0.000    8.090    0.000 indexing.py:918(__getitem__)
     9578    0.068    0.000    8.072    0.001 generic.py:4118(drop)
    83751    0.557    0.000    7.895    0.000 construction.py:558(_homogenize)
     9578    0.082    0.000    7.840    0.001 generic.py:4154(_drop_axis)
 19594881    5.566    0.000    7.749    0.000 generic.py:43(_check)
  1804087    1.506    0.000    7.718    0.000 base.py:3317(get_loc)
  1614064    2.313    0.000    7.699    0.000 fuzz.py:21(ratio)
    19448    0.389    0.000    7.635    0.000 managers.py:1137(insert)
166137/89839    0.338    0.000    7.581    0.000 printing.py:165(pprint_thing)
    13641    0.034    0.000    7.285    0.001 _decorators.py:322(wrapper)
    59149    0.213    0.000    7.245    0.000 managers.py:622(reindex_indexer)
    26183    0.033    0.000    7.204    0.000 generic.py:10679(sum)
    26183    0.048    0.000    7.172    0.000 generic.py:10428(sum)
    26183    0.115    0.000    7.123    0.000 generic.py:10381(_min_count_stat_function)
  2284145    2.264    0.000    6.963    0.000 series.py:627(name)
     6749    0.026    0.000    6.898    0.001 frame.py:4769(drop)
    19728    0.155    0.000    6.850    0.000 datetimes.py:676(to_datetime)
    38266    0.170    0.000    6.794    0.000 printing.py:99(_pprint_seq)
  2293728    1.257    0.000    6.669    0.000 construction.py:369(extract_array)
    69900    0.200    0.000    6.654    0.000 indexing.py:2323(convert_to_index_sliceable)
363699/324831    0.160    0.000    6.490    0.000 missing.py:61(isna)
    23728    0.113    0.000    6.382    0.000 frame.py:3480(_getitem_bool_array)
    25922    0.063    0.000    6.370    0.000 datetimes.py:761(_get_string_slice)
363699/324831    0.397    0.000    6.351    0.000 missing.py:144(_isna)
    27729    0.382    0.000    6.336    0.000 series.py:5515(_arith_method)
    55597    0.231    0.000    6.290    0.000 series.py:2915(_construct_result)
     2495    0.075    0.000    6.245    0.003 string.py:172(<listcomp>)
27044316/26441242    3.727    0.000    6.160    0.000 {built-in method builtins.getattr}
    26193    0.054    0.000    6.159    0.000 arraylike.py:114(__truediv__)
   908580    0.374    0.000    6.087    0.000 config.py:547(_select_options)
    12956    0.163    0.000    6.036    0.000 frame.py:9771(_reduce)
    94181    0.093    0.000    6.023    0.000 generic.py:5549(_consolidate_inplace)
    94181    0.211    0.000    5.930    0.000 generic.py:5535(_protect_consolidate)
    97852    0.063    0.000    5.921    0.000 base.py:5705(_maybe_cast_listlike_indexer)
3022825/2997894    1.741    0.000    5.749    0.000 {built-in method builtins.all}
   116134    0.134    0.000    5.638    0.000 missing.py:278(notna)
     6478    0.017    0.000    5.598    0.001 groupby.py:1886(last)
